prompt,completion
Codio sign: I am so sad, -
Codio sign: I am so happy, +
Codio sign: I am in love, +
Codio sign: happiness, +
Codio sign: cryiing, -
Codio sign: Borderlands 2 is so good omg, +
Codio sign: YOOOOOOOOOO i'm actually so hyped for this movie, +
Codio sign: I hate this algorithm, -
Codio sign: I am crying,  -
Codio sign: I am  happy, +
Codio sign: I am in love, +
Codio sign: happiness, +
Codio sign: franklin , -
Codio sign: am I happy?, ?
Codio sign:love, +
Codio sign: estatic, +
Codio sign: I love these new @ GhostLifestyle cans!! Everyone else drinks ghost?...., +
Codio sign: Meet one of the lovely gambling goddesses., +
Codio sign: Come meet one of the beautiful gods of gambling., +
Codio sign:Come to one of the lovely Gaming Goddesses., +
Codio sign: 16 Come meet one of... the lovely Gaming Goddesses., +
Codio sign: Come meet one of the lovely Green Goddesses., +
Codio sign: How are we into Halloween month already?! .,?
Codio sign: How are we already into the last month?!.,?
Codio sign: How  are we already in november ?!.,?
Codio sign: How are March into Halloween month already?!.,?
Codio sign: How the  are pulling we into Halloween month starting already?!.,?
Codio sign: in the hell are we into Halloween month already?!.,?
Codio sign: why,?
Codio sign: I hate this algorithm, -
Codio sign: I dislike This Alma Mater, -
Codio sign: Pretty Happy with this!, +
Codio sign: is, /
"Codio sign: I'm so sorry for the stupid short stream, i don't feel up to streaming today.", -
Codio sign: How old are you?,?
Codio sign: what did you do yesterday?,?
Codio sign: I LOVE THIS ., +
Codio sign: You have no idea how ready I am for it., /
Codio sign: Good times., +
Codio sign:  Bad times, -
Codio sign:  Not happy., -
Codio sign: I HATE THIS , -
Codio sign: bad times, -
Codio sign:  Low quality., -
Codio sign:  Quick to fail., -
Codio sign: cheap., -
Codio sign: Watch my video!, /
"Codio sign: So far, so good.", +
